customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,PaperlessBilling_Yes,Churn_Yes,tenure_group,AvgMonthlySpend,LongTermContract,isNewCustomer,MultipleServices,LowSpender
7590-VHVEG,No,1,29.85,29.85,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0-12,29.85,0,0,0,1
5575-GNVDE,No,34,56.95,1889.5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,25-48,55.5735294117647,1,0,0,1
3668-QPYBK,No,2,53.85,108.15,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,0-12,54.075,0,0,0,1
7795-CFOCW,No,45,42.3,1840.75,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,25-48,40.90555555555556,1,0,0,1
9237-HQITU,No,2,70.7,151.65,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0-12,75.825,0,0,1,1
9305-CDSKC,No,8,99.65,820.5,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,0-12,102.5625,0,0,1,0
1452-KIOVK,No,22,89.1,1949.4,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,13-24,88.60909090909091,0,0,1,0
6713-OKOMC,No,10,29.75,301.9,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0-12,30.189999999999998,0,0,0,1
7892-POOKP,No,28,104.8,3046.05,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,25-48,108.78750000000001,0,0,1,0
6388-TABGU,No,62,56.15,3487.95,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,49-72,56.25725806451613,1,0,0,1
